f,a1,a2,t1,t2
0.441,0.0146,0.0056,0.5117,0.1802
0.442,0.0146,0.0056,0.5122,0.18
0.443,0.0145,0.0056,0.5122,0.184
0.444,0.0145,0.0055,0.5128,0.1793
0.445,0.0144,0.0055,0.5128,0.1791
0.446,0.0145,0.0055,0.5133,0.1789
0.447,0.0147,0.0055,0.5133,0.1744
0.448,0.0148,0.0055,0.5133,0.1782
0.449,0.0149,0.0055,0.5139,0.1738
0.45,0.0151,0.0055,0.5139,0.166
0.451,0.0152,0.0056,0.5139,0.1691
0.452,0.0153,0.0056,0.5144,0.1724
0.453,0.0154,0.0056,0.5144,0.172
0.454,0.0155,0.0055,0.5144,0.1713
0.455,0.0157,0.0055,0.5144,0.2196
0.456,0.0158,0.0055,0.5144,0.2191
0.457,0.0158,0.0054,0.5144,0.2184
0.458,0.0159,0.0054,0.5144,0.2178
0.459,0.016,0.0054,0.5144,0.2171
0.46,0.0161,0.0054,0.5144,0.2117
0.461,0.0162,0.0054,0.5144,0.2023
0.462,0.0162,0.0054,0.5144,0.2057
0.463,0.0163,0.0055,0.5144,0.2049
0.464,0.0163,0.0055,0.5144,0.204
0.465,0.0164,0.0055,0.5144,0.2078
0.466,0.0164,0.0055,0.5144,0.207
0.467,0.0164,0.0055,0.5139,0.2063
0.468,0.0165,0.0056,0.5139,0.2013
0.469,0.0165,0.0056,0.5139,0.2009
0.47,0.0165,0.0056,0.5139,0.2002
0.471,0.0165,0.0056,0.5133,0.1956
0.472,0.0165,0.0056,0.5133,0.1952
0.473,0.0165,0.0056,0.5133,0.1948
0.474,0.0165,0.0056,0.5128,0.1944
0.475,0.0164,0.0056,0.5128,0.1942
0.476,0.0164,0.0056,0.5128,0.1938
0.477,0.0164,0.0055,0.5122,0.1933
0.478,0.0163,0.0055,0.5122,0.1931
0.479,0.0163,0.0055,0.5122,0.1927
0.48,0.0162,0.0055,0.5117,0.1925
0.481,0.0162,0.0055,0.5117,0.1921
0.482,0.0161,0.0055,0.5117,0.1919
0.483,0.016,0.0055,0.5111,0.1917
